3,4.79E+08,101873.1009,6980277.816,1,,,,0 SHIT IS BAD - get Orig Pos,162,6996641.196,3.336940805215917E8 SHIT IS BAD - get Orig Pos,1768
4,6.28E+08,3070569.597,4.54E+07,3,,,,1 SHIT IS BAD - get Orig Pos,175,896247.2079,3.232022938632865E7 SHIT IS BAD - get Orig Pos,1638
5,8.62E+08,199983.887,1.26E+07,1,,,,2 SHIT IS BAD - get Orig Pos,145,-826193.4218,4.7869813841064066E7 SHIT IS BAD - get Orig Pos,1728
6,5.43E+08,1.38E+07,1.47E+08,27,,,,10 SHIT IS BAD - get Orig Pos,146,2.19E+07,1.95243366317231E8 SHIT IS BAD - get Orig Pos,826
7,1.28E+09,271872.86,1.86E+07,1,,,,11 SHIT IS BAD - get Orig Pos,166,102013.0576,6980335.480669495 SHIT IS BAD - get Orig Pos,1200
8,122,5530083.635,1.07E+08,4217,,,,12 SHIT IS BAD - get Orig Pos,157,1.64E+07,1.6587019455267698E8 SHIT IS BAD - get Orig Pos,393
9,3709472,4528.600467,94223.6154,1,,,,13 SHIT IS BAD - get Orig Pos,161,3.66E+07,3.599859922732088E8 SHIT IS BAD - get Orig Pos,1939
20,1.93E+09,1.88E+07,1.86E+08,33,,,,14 SHIT IS BAD - get Orig Pos,145,124.9394647,37.07339544526426 SHIT IS BAD - get Orig Pos,480
21,4.66E+08,4.55E+07,3.33E+08,214,,,,15 SHIT IS BAD - get Orig Pos,162,2021.038658,12522.881512518801 SHIT IS BAD - get Orig Pos,1223
22,1.45E+07,9.76E+07,4.28E+08,349,,,,16 SHIT IS BAD - get Orig Pos,173,5.94E+07,3.3124369817379737E8 SHIT IS BAD - get Orig Pos,1886
23,1.12E+09,4893280.287,8.74E+07,10,,,,17 SHIT IS BAD - get Orig Pos,191,226.135514,232.903374944975 SHIT IS BAD - get Orig Pos,783
29,1.41E+09,2415511.289,5.38E+07,2,,,,18 SHIT IS BAD - get Orig Pos,205,1.99E+07,1.9119471856189257E8 SHIT IS BAD - get Orig Pos,1669
30,830,220.7871708,225.4335447,1,,,,19 SHIT IS BAD - get Orig Pos,199,3.51E+07,3.465892043307972E8 SHIT IS BAD - get Orig Pos,1216
31,10136,547.1669499,1253.431138,1,,,,24 SHIT IS BAD - get Orig Pos,173,368300.1593,8.728709457762983E7 SHIT IS BAD - get Orig Pos,1069
34,2.02E+08,456244.3985,2.83E+07,2,,,,25 SHIT IS BAD - get Orig Pos,174,817141.4308,3.228445344122644E7 SHIT IS BAD - get Orig Pos,1112
36,9.98E+08,939116.8263,2.25E+07,1,,,,26 SHIT IS BAD - get Orig Pos,152,582.6159728,3331.830393868893 SHIT IS BAD - get Orig Pos,654
37,2.00E+09,429409.2632,2.92E+07,1,,,,27 SHIT IS BAD - get Orig Pos,142,121.6427358,35.045628352224185 SHIT IS BAD - get Orig Pos,308
39,2.08E+09,438663.1568,5.20E+07,1,,,,28 SHIT IS BAD - get Orig Pos,156,187.8294393,377.68496063540874 SHIT IS BAD - get Orig Pos,639
40,7.67E+08,1658884.401,4.71E+07,4,,,,45 SHIT IS BAD - get Orig Pos,144,6777424.62,9.551265674243952E7 SHIT IS BAD - get Orig Pos,1970
41,4.83E+08,2459310.145,3.62E+07,3,,,,46 SHIT IS BAD - get Orig Pos,179,6.54E+07,3.7939049213965845E8 SHIT IS BAD - get Orig Pos,1926
42,156,121.998938,35.22663303,22,,,,47 SHIT IS BAD - get Orig Pos,138,120.2429907,34.425809614395256 SHIT IS BAD - get Orig Pos,543
43,1.12E+09,1.94E+07,3.34E+08,146,,,,48 SHIT IS BAD - get Orig Pos,180,8726.933093,581700.1967207905 SHIT IS BAD - get Orig Pos,1040
44,154,121.6427358,35.04562835,28,,,,49 SHIT IS BAD - get Orig Pos,183,7534748.122,1.1804732303322612E8 SHIT IS BAD - get Orig Pos,1832
51,146,1371.900595,24627.45271,2415,,,,93 SHIT IS BAD - get Orig Pos,965,7.21E+07,3.196207640264497E8 SHIT IS BAD - get Orig Pos,1131
52,40594,1746.262957,7634.20881,1,,,,94 SHIT IS BAD - get Orig Pos,210,1.95E+07,2.0208216567990053E8 SHIT IS BAD - get Orig Pos,852
53,7.90E+08,5.98E+07,3.10E+08,195,,,,95 SHIT IS BAD - get Orig Pos,869,8814.363424,582278.9633148119 SHIT IS BAD - get Orig Pos,237
54,1.56E+09,450396.8449,2.38E+07,1,,,,149 SHIT IS BAD - get Orig Pos,162,1341087.66,4.4654860957634896E7 SHIT IS BAD - get Orig Pos,1950
55,7.38E+08,909931.7109,4.56E+07,3,,,,109 SHIT IS BAD - get Orig Pos,149,3047.483008,92488.13429498379 SHIT IS BAD - get Orig Pos,1668
56,5768,8561614.703,1.20E+08,312,,,,110 SHIT IS BAD - get Orig Pos,164,599396.3719,3.438778639707187E7 SHIT IS BAD - get Orig Pos,1494
57,1451642,477.6731096,21184.57824,1,,,,111 SHIT IS BAD - get Orig Pos,168,297901.2281,1.50945050159483E7 SHIT IS BAD - get Orig Pos,1835
59,1.04E+09,415663.9074,2.02E+07,1,,,,134 SHIT IS BAD - get Orig Pos,149,9076.723662,581782.4272951517 SHIT IS BAD - get Orig Pos,2027
61,9.06E+08,3.70E+07,4.20E+08,204,,,,135 SHIT IS BAD - get Orig Pos,148,420385.1867,2.8736676303734172E7 SHIT IS BAD - get Orig Pos,1998
63,1.93E+09,-1816323.361,1.63E+08,12,,,,136 SHIT IS BAD - get Orig Pos,164,2.99E+07,3.333674550469923E8 SHIT IS BAD - get Orig Pos,1780
65,132,118.267842,33.69506685,1471,,,,137 SHIT IS BAD - get Orig Pos,132,120.7818607,34.194459183453205 SHIT IS BAD - get Orig Pos,2047
66,130,117.2737893,33.32835306,1483,,,,141 SHIT IS BAD - get Orig Pos,193,4.94E+07,3.7519550674726033E8 SHIT IS BAD - get Orig Pos,1981
67,172,125.7249363,36.78123342,19,,,,142 SHIT IS BAD - get Orig Pos,169,1.95E+07,1.907739619999518E8 SHIT IS BAD - get Orig Pos,1874
68,2.00E+09,9889188.956,1.12E+08,3,,,,158 SHIT IS BAD - get Orig Pos,162,997.3294393,58765.184329401105 SHIT IS BAD - get Orig Pos,777
70,1.03E+09,1.08E+07,1.13E+08,18,,,,159 SHIT IS BAD - get Orig Pos,2.00E+09,1.72E+07,1.8017714577415532E8 SHIT IS BAD - get Orig Pos,25
72,146,121.2652931,34.96808124,175,,,,160 SHIT IS BAD - get Orig Pos,207,9.18E+07,4.1512639885994035E8 SHIT IS BAD - get Orig Pos,1642
74,2.00E+09,7774654.922,1.00E+08,1,,,,,,,,1311.794872
75,2.00E+09,7774270.492,1.00E+08,1,,,,,,,,
77,1.75E+09,5.32E+07,3.15E+08,39,,,,,,,,
79,1.85E+09,4068854.103,6.58E+07,4,,,,,,,,
80,240,131.7952421,41.43173289,1,,,,,,,,
81,2.00E+09,425852.0455,2.92E+07,1,,,,,,,,
83,1.67E+09,7.36E+07,3.83E+08,112,,,,32,-8.98E+08,-179555.5699,1.31E+07,4708
86,8.49E+08,7054039.377,9.73E+07,15,,,,33,-8.28E+07,1.76E+07,4.79E+08,4466
87,176,123.614486,36.13447605,13,,,,35,-7.76E+08,-164541.5076,1.13E+07,4708
90,2.12E+09,-9953367.033,3.65E+08,1,,,,38,-8.46E+08,2.08E+07,3.56E+08,4627
91,4.00E+07,2450430.662,5.86E+07,9,,,,50,-1.79E+08,1.89E+07,3.85E+08,4560
92,41427,5068273.776,1.01E+08,21,,,,58,-8.64E+08,5.72E+07,3.17E+08,4671
96,1.37E+09,85249.23386,2.50E+07,1,,,,60,-1.44E+09,-111346.4522,2.49E+07,4708
97,3628838,544066.3197,3.28E+07,23,,,,62,-5.23E+08,7811509.038,1.85E+08,4666
98,1.28E+09,7694168.587,9.88E+07,3,,,,64,-7.58E+07,3.68E+07,4.40E+08,4515
